Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;TENESTEYTING MV.;2.9;3.0;2.8;2.8
 ;HUSHALD OG JORDBRUK;5.4;5.6;5.5;5.2
 ;Primærnæringer;0.0;0.0;0.0;0.0
 ;Hushald;4.6;4.8;4.7;4.5
 ;Hytter og fritidshus;0.8;0.8;0.8;0.7
Masfjorden;;;;;
 ;ALLE FORBRUKARGRUPPER;30.8;31.9;33.8;35.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;1.0;1.0;0.9
 ;TENESTEYTING MV.;11.2;11.6;13.0;15.2
 ;HUSHALD OG JORDBRUK;18.6;19.4;19.8;19.1
 ;Primærnæringer;3.7;3.7;4.0;4.2
 ;Hushald;12.0;12.8;12.7;11.9
 ;Hytter og fritidshus;2.9;2.9;3.2;3.0
Flora;;;;;
 ;ALLE FORBRUKARGRUPPER;199.8;217.1;211.8;204.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;61.5;73.7;66.4;66.9
 ;TENESTEYTING MV.;55.3;55.8;56.0;53.4
 ;HUSHALD OG JORDBRUK;83.0;87.5;89.4;84.2
 ;Primærnæringer;7.6;8.5;8.4;8.2
 ;Hushald;72.6;76.0;77.5;72.9
 ;Hytter og fritidshus;2.8;3.1;3.5;3.1
Gulen;;;;;
 ;ALLE FORBRUKARGRUPPER;48.2;49.8;53.5;54.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;13.6;13.4;13.3;13.7
 ;TENESTEYTING MV.;10.4;10.9;14.1;16.6
 ;HUSHALD OG JORDBRUK;24.3;25.5;26.2;24.2
 ;Primærnæringer;1.7;1.9;2.0;1.9
 ;Hushald;17.1;18.1;18.3;16.9
 ;Hytter og fritidshus;5.5;5.5;5.9;5.3
Solund;;;;;
 ;ALLE FORBRUKARGRUPPER;14.2;14.8;14.9;14.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.0;2.2;2.0;2.3
 ;TENESTEYTING MV.;3.7;3.6;3.4;3.1
 ;HUSHALD OG JORDBRUK;8.6;9.0;9.5;8.8
 ;Primærnæringer;1.5;1.5;1.7;1.6
 ;Hushald;5.4;5.7;6.0;5.5
 ;Hytter og fritidshus;1.6;1.8;1.8;1.7
Hyllestad;;;;;
 ;ALLE FORBRUKARGRUPPER;23.8;24.8;25.5;26.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.5;7.8;8.0;10.0
 ;TENESTEYTING MV.;4.7;4.9;4.9;4.6
 ;HUSHALD OG JORDBRUK;11.7;12.1;12.6;11.8
 ;Primærnæringer;2.3;2.3;2.5;2.4
 ;Hushald;8.2;8.6;8.7;8.2
 ;Hytter og fritidshus;1.2;1.3;1.4;1.3
Høyanger;;;;;
 ;ALLE FORBRUKARGRUPPER;973.3;991.8;993.0;986.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;914.9;929.2;932.1;930.5
 ;TENESTEYTING MV.;21.4;21.9;19.9;18.4
 ;HUSHALD OG JORDBRUK;37.0;40.8;41.0;37.4
 ;Primærnæringer;4.0;3.3;3.8;3.5
 ;Hushald;30.9;34.5;34.1;30.9
 ;Hytter og fritidshus;2.1;3.0;3.2;3.0
Vik;;;;;
 ;ALLE FORBRUKARGRUPPER;42.7;44.2;45.2;40.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.2;9.5;10.7;9.6
 ;TENESTEYTING MV.;9.3;9.1;9.6;9.1
 ;HUSHALD OG JORDBRUK;24.2;25.7;24.9;21.5
 ;Primærnæringer;4.5;4.8;1.9;1.0
 ;Hushald;18.5;19.8;21.9;19.5
 ;Hytter og fritidshus;1.1;1.1;1.1;1.0
Balestrand;;;;;
 ;ALLE FORBRUKARGRUPPER;21.1;22.0;22.6;20.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.6;1.7;2.4;2.2
 ;TENESTEYTING MV.;8.5;8.7;9.4;8.5
 ;HUSHALD OG JORDBRUK;11.1;11.5;10.8;9.6
 ;Primærnæringer;0.7;0.6;0.3;0.2
 ;Hushald;10.0;10.5;10.1;9.0
 ;Hytter og fritidshus;0.5;0.4;0.5;0.4
Leikanger;;;;;
 ;ALLE FORBRUKARGRUPPER;28.9;30.4;31.2;28.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.4;0.3;0.4;0.4
 ;TENESTEYTING MV.;9.8;10.5;12.1;11.4
 ;HUSHALD OG JORDBRUK;18.7;19.6;18.7;17.1
 ;Primærnæringer;2.2;2.4;1.5;1.5
 ;Hushald;16.2;17.0;17.0;15.5
 ;Hytter og fritidshus;0.2;0.2;0.2;0.2
Sogndal;;;;;
 ;ALLE FORBRUKARGRUPPER;126.4;139.4;141.7;130.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;18.3;25.4;23.5;23.7
 ;TENESTEYTING MV.;48.6;50.9;55.5;49.6
 ;HUSHALD OG JORDBRUK;59.5;63.1;62.7;56.8
 ;Primærnæringer;4.0;4.3;1.1;0.9
 ;Hushald;53.5;56.5;59.4;54.0
 ;Hytter og fritidshus;2.0;2.3;2.2;1.9
Aurland;;;;;
 ;ALLE FORBRUKARGRUPPER;44.2;45.3;46.5;44.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.5;2.8;3.5;3.0
 ;TENESTEYTING MV.;25.3;25.5;25.4;25.9
 ;HUSHALD OG JORDBRUK;16.3;17.0;17.6;15.8
 ;Primærnæringer;0.9;1.0;1.1;1.0
 ;Hushald;13.8;14.2;14.6;13.1
 ;Hytter og fritidshus;1.6;1.7;1.9;1.8
Lærdal;;;;;
 ;ALLE FORBRUKARGRUPPER;43.4;47.3;47.1;42.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.9;3.7;3.5;4.2
 ;TENESTEYTING MV.;18.4;21.4;20.0;17.8
 ;HUSHALD OG JORDBRUK;21.2;22.2;23.6;20.4
 ;Primærnæringer;1.2;1.5;1.5;1.4
 ;Hushald;17.7;18.2;19.4;16.5
 ;Hytter og fritidshus;2.3;2.5;2.7;2.5
Årdal;;;;;
 ;ALLE FORBRUKARGRUPPER;3381.0;3363.7;3178.8;3360.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3306.4;3291.1;3104.0;3293.3
 ;TENESTEYTING MV.;27.2;26.1;25.9;24.8
 ;HUSHALD OG JORDBRUK;47.4;46.6;48.9;42.7
 ;Primærnæringer;0.1;0.1;0.1;0.3
 ;Hushald;45.3;44.4;46.9;41.1
 ;Hytter og fritidshus;1.9;2.0;1.9;1.2
Luster;;;;;
 ;ALLE FORBRUKARGRUPPER;69.7;73.8;77.3;70.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.1;6.5;7.0;6.6
 ;TENESTEYTING MV.;24.5;23.9;25.2;23.0
 ;HUSHALD OG JORDBRUK;41.2;43.4;45.2;40.9
 ;Primærnæringer;0.8;0.9;1.0;0.9
 ;Hushald;37.6;39.6;41.1;37.1
 ;Hytter og fritidshus;2.8;3.0;3.1;2.9
Askvoll;;;;;
 ;ALLE FORBRUKARGRUPPER;38.0;40.9;41.9;38.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.1;3.9;4.0;3.6
 ;TENESTEYTING MV.;9.9;10.6;10.9;10.1
 ;HUSHALD OG JORDBRUK;25.0;26.4;27.0;25.1
 ;Primærnæringer;2.3;2.4;2.4;2.3
 ;Hushald;20.6;21.9;22.3;20.7
 ;Hytter og fritidshus;2.1;2.1;2.3;2.1
Fjaler;;;;;
 ;ALLE FORBRUKARGRUPPER;38.4;38.9;39.2;35.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.7;0.5;0.5;0.4
 ;TENESTEYTING MV.;15.9;15.8;15.0;13.5
 ;HUSHALD OG JORDBRUK;21.7;22.6;23.7;21.6
 ;Primærnæringer;5.5;5.3;5.2;4.9
 ;Hushald;14.2;15.2;16.2;14.6
 ;Hytter og fritidshus;2.1;2.1;2.3;2.1
Gaular;;;;;
 ;ALLE FORBRUKARGRUPPER;32.3;33.3;34.3;32.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.2;0.7;0.8;0.7
 ;TENESTEYTING MV.;9.7;9.5;9.2;9.1
 ;HUSHALD OG JORDBRUK;21.4;23.1;24.3;22.4
 ;Primærnæringer;5.0;3.8;2.6;2.3
 ;Hushald;14.8;17.5;19.7;18.3
 ;Hytter og fritidshus;1.6;1.7;2.0;1.7
Jølster;;;;;
 ;ALLE FORBRUKARGRUPPER;37.8;39.1;40.0;36.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.7;0.9;1.6;0.9
 ;TENESTEYTING MV.;12.5;12.7;12.0;11.2
 ;HUSHALD OG JORDBRUK;24.6;25.6;26.4;24.3
 ;Primærnæringer;6.9;6.6;6.0;5.6
 ;Hushald;16.5;17.6;18.9;17.4
 ;Hytter og fritidshus;1.2;1.3;1.5;1.3
Førde;;;;;
 ;ALLE FORBRUKARGRUPPER;199.5;209.6;213.6;196.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;15.1;16.9;11.5;18.1
 ;TENESTEYTING MV.;104.0;108.0;107.4;98.4
 ;HUSHALD OG JORDBRUK;80.3;84.7;94.7;80.0
 ;Primærnæringer;3.7;3.6;11.2;3.1
 ;Hushald;75.9;80.3;82.7;76.2
 ;Hytter og fritidshus;0.6;0.8;0.8;0.7
Naustdal;;;;;
 ;ALLE FORBRUKARGRUPPER;25.8;26.6;27.5;25.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.3;0.3;0.3;0.2
 ;TENESTEYTING MV.;6.1;6.4;6.7;6.1
 ;HUSHALD OG JORDBRUK;19.3;19.9;20.5;19.2
 ;Primærnæringer;2.8;2.8;2.7;2.4
 ;Hushald;15.8;16.3;17.0;16.0
 ;Hytter og fritidshus;0.7;0.7;0.8;0.7
Bremanger;;;;;
 ;ALLE FORBRUKARGRUPPER;870.7;731.3;774.5;793.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;821.4;683.1;725.2;747.4
 ;TENESTEYTING MV.;16.8;15.2;15.6;14.7
 ;HUSHALD OG JORDBRUK;32.5;32.9;33.7;31.2
 ;Primærnæringer;2.0;1.8;1.9;2.0
 ;Hushald;27.9;28.5;28.9;26.6
 ;Hytter og fritidshus;2.5;2.6;2.9;2.6
Vågsøy;;;;;
 ;ALLE FORBRUKARGRUPPER;108.7;112.3;108.1;107.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;34.3;33.5;30.0;34.5
 ;TENESTEYTING MV.;30.4;31.8;31.3;29.1
 ;HUSHALD OG JORDBRUK;43.9;47.0;46.8;43.7
 ;Primærnæringer;0.5;0.6;0.5;0.6
 ;Hushald;42.2;45.2;45.0;41.9
 ;Hytter og fritidshus;1.2;1.2;1.3;1.2
Selje;;;;;
 ;ALLE FORBRUKARGRUPPER;41.5;44.3;43.0;41.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.0;11.1;10.0;10.8
 ;TENESTEYTING MV.;8.6;9.1;8.9;8.2
 ;HUSHALD OG JORDBRUK;22.9;24.1;24.1;22.5
 ;Primærnæringer;1.4;1.5;1.1;1.0
 ;Hushald;20.2;21.3;21.5;20.1
 ;Hytter og fritidshus;1.3;1.3;1.5;1.4
Eid;;;;;
 ;ALLE FORBRUKARGRUPPER;76.1;80.3;81.8;76.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.3;7.3;7.5;6.8
 ;TENESTEYTING MV.;27.8;28.5;29.4;28.0
 ;HUSHALD OG JORDBRUK;42.1;44.5;44.9;41.3
 ;Primærnæringer;1.6;2.1;2.2;2.1
 ;Hushald;39.3;41.1;41.2;37.8
 ;Hytter og fritidshus;1.2;1.4;1.6;1.5
Hornindal;;;;;
 ;ALLE FORBRUKARGRUPPER;17.5;17.2;17.5;16.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.5;2.8;2.7;2.4
 ;TENESTEYTING MV.;5.7;4.4;4.5;4.0
 ;HUSHALD OG JORDBRUK;9.3;10.0;10.4;9.8
 ;Primærnæringer;0.7;0.8;1.0;1.0
 ;Hushald;8.3;8.9;9.0;8.4
 ;Hytter og fritidshus;0.3;0.3;0.4;0.4
Gloppen;;;;;
 ;ALLE FORBRUKARGRUPPER;106.2;115.2;116.6;112.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;33.6;39.1;39.8;39.6
 ;TENESTEYTING MV.;24.8;26.7;26.3;25.2
 ;HUSHALD OG JORDBRUK;47.8;49.3;50.5;48.2
 ;Primærnæringer;6.5;6.8;7.1;7.7
 ;Hushald;40.0;41.4;42.1;39.4
 ;Hytter og fritidshus;1.2;1.2;1.3;1.2
Stryn;;;;;
 ;ALLE FORBRUKARGRUPPER;111.3;119.6;120.5;111.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;23.4;24.6;24.2;23.3
 ;TENESTEYTING MV.;37.1;39.3;39.2;35.9
 ;HUSHALD OG JORDBRUK;50.8;55.7;57.1;51.9
 ;Primærnæringer;7.6;8.2;8.5;7.8
 ;Hushald;39.3;42.6;43.2;39.2
 ;Hytter og fritidshus;3.9;4.9;5.3;4.9
Molde;;;;;
 ;ALLE FORBRUKARGRUPPER;371.1;397.2;394.0;375.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;47.1;50.5;49.8;45.4
 ;TENESTEYTING MV.;147.7;157.0;156.5;149.4
 ;HUSHALD OG JORDBRUK;176.3;189.7;187.6;180.6
 ;Primærnæringer;2.3;2.1;1.8;1.8
 ;Hushald;172.2;185.5;183.7;176.8
 ;Hytter og fritidshus;1.8;2.1;2.2;2.1
Ålesund;;;;;
 ;ALLE FORBRUKARGRUPPER;656.4;690.8;694.0;671.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;132.7;137.6;138.1;142.2
 ;TENESTEYTING MV.;243.4;253.3;252.8;242.5
 ;HUSHALD OG JORDBRUK;280.3;299.9;303.2;286.3
 ;Primærnæringer;0.8;1.4;1.5;1.5
 ;Hushald;279.1;297.9;301.0;284.0
 ;Hytter og fritidshus;0.4;0.6;0.7;0.7
Kristiansund;;;;;
 ;ALLE FORBRUKARGRUPPER;335.6;344.4;351.3;334.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;35.1;32.4;34.6;35.9
 ;TENESTEYTING MV.;134.0;138.9;142.2;135.7
 ;HUSHALD OG JORDBRUK;166.6;173.0;174.5;162.9
 ;Primærnæringer;6.7;2.8;1.8;1.3
 ;Hushald;158.0;168.4;170.9;159.9
 ;Hytter og fritidshus;1.8;1.9;1.8;1.7
Vanylven;;;;;
 ;ALLE FORBRUKARGRUPPER;64.6;64.3;49.7;58.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.8;18.0;4.4;15.6
 ;TENESTEYTING MV.;12.5;13.4;13.2;13.1
 ;HUSHALD OG JORDBRUK;31.4;32.8;32.1;29.9
 ;Primærnæringer;4.7;4.8;4.1;3.8
 ;Hushald;25.9;27.0;26.8;24.9
 ;Hytter og fritidshus;0.8;1.0;1.1;1.1
Sande (M. og R.);;;;;
 ;ALLE FORBRUKARGRUPPER;36.8;38.5;39.7;39.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.2;9.2;10.4;11.8
 ;TENESTEYTING MV.;6.7;7.0;7.1;6.7
 ;HUSHALD OG JORDBRUK;20.9;22.3;22.2;21.2
 ;Primærnæringer;0.7;0.7;0.7;0.7
 ;Hushald;19.5;20.7;20.4;19.5
 ;Hytter og fritidshus;0.8;0.9;1.1;1.1
Herøy (M. og R.);;;;;
 ;ALLE FORBRUKARGRUPPER;132.1;143.6;141.9;135.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;28.3;30.2;27.9;27.8
 ;TENESTEYTING MV.;31.2;34.0;34.0;32.7
 ;HUSHALD OG JORDBRUK;72.6;79.4;79.9;75.4
 ;Primærnæringer;5.6;6.3;7.0;6.6
 ;Hushald;66.1;72.0;71.6;67.4
 ;Hytter og fritidshus;1.0;1.0;1.4;1.4
Ulstein;;;;;
 ;ALLE FORBRUKARGRUPPER;127.0;136.7;139.0;137.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;38.9;43.0;43.6;45.5
 ;TENESTEYTING MV.;31.1;32.0;32.7;32.4
 ;HUSHALD OG JORDBRUK;57.0;61.7;62.8;59.8
 ;Primærnæringer;2.1;2.3;2.2;2.0
 ;Hushald;54.2;58.8;59.8;57.0
 ;Hytter og fritidshus;0.6;0.6;0.8;0.8
Hareid;;;;;
 ;ALLE FORBRUKARGRUPPER;69.6;75.4;75.1;70.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;21.1;22.2;21.7;19.9
 ;TENESTEYTING MV.;12.7;13.7;13.6;13.4
 ;HUSHALD OG JORDBRUK;35.8;39.5;39.8;37.5
 ;Primærnæringer;0.7;1.0;0.7;0.5
 ;Hushald;34.8;38.2;38.6;36.5
 ;Hytter og fritidshus;0.3;0.4;0.5;0.5
Volda;;;;;
 ;ALLE FORBRUKARGRUPPER;119.1;130.6;128.1;118.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.0;6.1;6.0;5.4
 ;TENESTEYTING MV.;47.2;52.5;50.0;45.6
 ;HUSHALD OG JORDBRUK;65.9;72.0;72.2;67.8
 ;Primærnæringer;3.9;4.5;4.5;5.0
 ;Hushald;61.0;66.3;66.4;61.5
 ;Hytter og fritidshus;1.1;1.2;1.4;1.3
Ørsta;;;;;
 ;ALLE FORBRUKARGRUPPER;165.8;174.3;174.1;162.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;35.5;35.2;32.8;31.4
 ;TENESTEYTING MV.;42.8;44.3;45.2;41.2
 ;HUSHALD OG JORDBRUK;87.5;94.8;96.1;89.4
 ;Primærnæringer;9.5;10.3;10.4;9.8
 ;Hushald;76.0;82.2;83.1;77.2
 ;Hytter og fritidshus;2.1;2.3;2.5;2.5
Ørskog;;;;;
 ;ALLE FORBRUKARGRUPPER;27.9;29.4;29.1;27.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;1.0;1.1;1.0
 ;TENESTEYTING MV.;10.5;10.5;9.7;8.9
 ;HUSHALD OG JORDBRUK;16.3;17.9;18.2;17.3
 ;Primærnæringer;1.4;1.5;1.5;1.4
 ;Hushald;13.9;15.4;15.5;14.7
 ;Hytter og fritidshus;1.0;1.1;1.3;1.2
Norddal;;;;;
 ;ALLE FORBRUKARGRUPPER;30.7;32.7;45.5;43.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.6;3.5;16.1;15.3
 ;TENESTEYTING MV.;10.0;11.8;11.4;11.0
 ;HUSHALD OG JORDBRUK;18.0;17.3;17.9;16.9
 ;Primærnæringer;3.5;2.8;2.9;3.1
 ;Hushald;12.5;12.6;12.9;11.8
 ;Hytter og fritidshus;2.0;2.0;2.2;2.0
Stranda;;;;;
 ;ALLE FORBRUKARGRUPPER;109.0;119.5;120.0;115.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;44.6;48.1;49.8;48.2
 ;TENESTEYTING MV.;26.1;29.0;27.3;27.6
 ;HUSHALD OG JORDBRUK;38.3;42.4;43.0;39.1
 ;Primærnæringer;2.6;2.9;3.1;3.0
 ;Hushald;33.0;36.2;36.3;32.7
 ;Hytter og fritidshus;2.6;3.3;3.6;3.4
Stordal;;;;;
 ;ALLE FORBRUKARGRUPPER;17.2;18.0;17.9;16.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.1;3.1;2.7;2.1
 ;TENESTEYTING MV.;4.9;5.0;5.0;4.8
 ;HUSHALD OG JORDBRUK;9.2;9.9;10.2;9.5
 ;Primærnæringer;0.4;0.4;0.5;0.5
 ;Hushald;7.1;7.6;7.7;6.9
 ;Hytter og fritidshus;1.7;1.9;2.1;2.2
Sykkylven;;;;;
 ;ALLE FORBRUKARGRUPPER;115.8;125.3;124.6;113.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;38.4;40.2;40.4;35.0
 ;TENESTEYTING MV.;22.5;26.4;25.0;23.2
 ;HUSHALD OG JORDBRUK;54.9;58.7;59.2;55.5
 ;Primærnæringer;0.9;1.0;0.9;0.9
 ;Hushald;51.6;54.9;55.5;52.0
 ;Hytter og fritidshus;2.4;2.9;2.8;2.7
Skodje;;;;;
 ;ALLE FORBRUKARGRUPPER;45.5;50.4;52.2;49.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.2;5.6;4.8;4.6
 ;TENESTEYTING MV.;11.1;12.7;14.4;13.5
 ;HUSHALD OG JORDBRUK;29.2;32.2;33.0;31.6
 ;Primærnæringer;0.8;0.8;0.9;0.9
 ;Hushald;26.8;29.6;30.3;28.8
 ;Hytter og fritidshus;1.6;1.8;1.8;1.9
Sula;;;;;
 ;ALLE FORBRUKARGRUPPER;107.8;111.8;114.0;109.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;28.5;27.3;27.9;28.7
 ;TENESTEYTING MV.;23.9;25.0;25.3;23.3
 ;HUSHALD OG JORDBRUK;55.4;59.6;60.9;57.6
 ;Primærnæringer;0.3;0.2;0.5;0.3
 ;Hushald;55.0;59.2;60.2;57.2
 ;Hytter og fritidshus;0.2;0.2;0.2;0.2
Giske;;;;;
 ;ALLE FORBRUKARGRUPPER;79.8;86.8;86.3;83.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.0;12.4;11.6;10.4
 ;TENESTEYTING MV.;20.8;22.1;21.2;21.6
 ;HUSHALD OG JORDBRUK;48.0;52.4;53.6;51.3
 ;Primærnæringer;0.7;0.7;0.8;0.8
 ;Hushald;47.1;51.6;52.7;50.4
 ;Hytter og fritidshus;0.1;0.1;0.1;0.1
Haram;;;;;
 ;ALLE FORBRUKARGRUPPER;131.1;141.3;142.8;133.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;36.2;39.5;39.9;43.1
 ;TENESTEYTING MV.;26.5;28.4;28.4;21.4
 ;HUSHALD OG JORDBRUK;68.5;73.3;74.5;69.2
 ;Primærnæringer;3.1;3.4;3.4;3.1
 ;Hushald;63.8;68.2;69.3;64.5
 ;Hytter og fritidshus;1.6;1.7;1.8;1.6
Vestnes;;;;;
 ;ALLE FORBRUKARGRUPPER;95.4;101.9;105.9;101.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;22.0;23.1;24.4;25.5
 ;TENESTEYTING MV.;21.6;23.4;23.7;23.0
 ;HUSHALD OG JORDBRUK;51.8;55.5;57.8;53.4
 ;Primærnæringer;4.9;5.1;5.1;5.1
 ;Hushald;45.4;48.7;50.9;46.8
 ;Hytter og fritidshus;1.5;1.6;1.7;1.6
Rauma;;;;;
 ;ALLE FORBRUKARGRUPPER;143.9;142.6;140.3;134.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;21.0;22.2;38.4;39.2
 ;TENESTEYTING MV.;64.1;59.0;36.5;34.7
 ;HUSHALD OG JORDBRUK;58.7;61.4;65.4;60.9
 ;Primærnæringer;3.0;3.2;4.7;4.5
 ;Hushald;53.4;56.0;58.1;54.0
 ;Hytter og fritidshus;2.4;2.3;2.6;2.3
Nesset;;;;;
 ;ALLE FORBRUKARGRUPPER;47.3;50.2;47.4;38.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;12.3;14.1;10.1;7.0
 ;TENESTEYTING MV.;8.8;10.0;10.1;9.6
 ;HUSHALD OG JORDBRUK;26.3;26.1;27.2;22.3
 ;Primærnæringer;1.6;1.5;2.7;1.6
 ;Hushald;22.5;22.2;21.9;18.6
 ;Hytter og fritidshus;2.2;2.4;2.6;2.1
Midsund;;;;;
 ;ALLE FORBRUKARGRUPPER;25.7;29.0;28.1;28.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.6;6.3;4.7;4.9
 ;TENESTEYTING MV.;5.2;5.2;5.7;6.4
 ;HUSHALD OG JORDBRUK;16.0;17.5;17.7;17.5
 ;Primærnæringer;1.9;2.3;2.4;2.8
 ;Hushald;13.5;14.5;14.6;14.0
 ;Hytter og fritidshus;0.6;0.7;0.7;0.7
Sandøy;;;;;
 ;ALLE FORBRUKARGRUPPER;24.2;26.4;27.4;25.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.2;10.6;11.4;9.7
 ;TENESTEYTING MV.;4.4;4.6;4.8;4.6
 ;HUSHALD OG JORDBRUK;10.6;11.2;11.2;10.7
 ;Primærnæringer;0.5;0.5;0.4;0.4
 ;Hushald;9.0;9.5;9.4;9.0
 ;Hytter og fritidshus;1.1;1.2;1.4;1.3
Aukra;;;;;
 ;ALLE FORBRUKARGRUPPER;1320.7;1419.1;1404.7;1348.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1276.4;1382.0;1366.8;1308.7
 ;TENESTEYTING MV.;13.1;12.4;12.5;14.3
 ;HUSHALD OG JORDBRUK;31.2;24.7;25.4;25.8
 ;Primærnæringer;0.8;0.6;0.7;0.7
 ;Hushald;29.7;23.7;24.1;24.4
 ;Hytter og fritidshus;0.7;0.5;0.6;0.7
Fræna;;;;;
 ;ALLE FORBRUKARGRUPPER;507.9;180.4;520.0;504.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;414.4;70.9;410.1;397.9
 ;TENESTEYTING MV.;25.9;28.7;29.1;29.1
 ;HUSHALD OG JORDBRUK;67.6;80.8;80.9;77.5
 ;Primærnæringer;5.1;5.5;5.7;5.7
 ;Hushald;59.7;72.2;72.0;68.7
 ;Hytter og fritidshus;2.9;3.1;3.3;3.2
Eide;;;;;
 ;ALLE FORBRUKARGRUPPER;42.9;44.4;44.3;42.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.2;7.0;7.0;6.4
 ;TENESTEYTING MV.;10.6;10.5;10.4;9.7
 ;HUSHALD OG JORDBRUK;25.1;26.9;26.9;26.1
 ;Primærnæringer;1.7;1.7;1.7;1.8
 ;Hushald;22.7;24.4;24.3;23.5
 ;Hytter og fritidshus;0.7;0.8;0.8;0.8
Averøy;;;;;
 ;ALLE FORBRUKARGRUPPER;110.3;124.9;117.8;112.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;49.3;59.0;51.4;49.9
 ;TENESTEYTING MV.;16.6;17.5;17.3;16.5
 ;HUSHALD OG JORDBRUK;44.4;48.4;49.1;46.5
 ;Primærnæringer;5.1;5.6;5.2;4.8
 ;Hushald;36.8;40.1;41.1;39.0
 ;Hytter og fritidshus;2.5;2.7;2.8;2.6
Gjemnes;;;;;
 ;ALLE FORBRUKARGRUPPER;37.6;38.5;36.5;35.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.4;3.9;1.5;1.5
 ;TENESTEYTING MV.;10.9;11.4;11.7;11.2
 ;HUSHALD OG JORDBRUK;21.4;23.2;23.3;22.4
 ;Primærnæringer;2.4;2.4;2.1;2.2
 ;Hushald;16.7;18.2;18.4;17.7
 ;Hytter og fritidshus;2.3;2.6;2.7;2.6
Tingvoll;;;;;
 ;ALLE FORBRUKARGRUPPER;41.1;43.9;44.7;41.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.7;1.6;1.5;1.6
 ;TENESTEYTING MV.;10.5;11.0;10.6;10.2
 ;HUSHALD OG JORDBRUK;27.9;31.3;32.6;29.4
 ;Primærnæringer;4.5;6.1;6.3;5.2
 ;Hushald;19.2;20.6;21.0;19.3
 ;Hytter og fritidshus;4.2;4.7;5.3;4.8
Sunndal;;;;;
 ;ALLE FORBRUKARGRUPPER;4535.5;4755.7;5143.9;5226.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4450.4;4663.4;5055.3;5145.2
