"Omsetning per innbygger i detaljhandel (kr), etter region, tid  og "
" statistikkvariabel"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" ";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning"
"Leksvik";36817;37663;37346;37116;38746;37346;39052
"Levanger";62504;67900;72871;74193;74860;73779;75776
"Verdal";62569;64897;65268;64795;67834;68187;69564
"Verran";16349;17152;15613;17396;17012;17062;19425
"Namdalseid";14847;14667;14985;15898;15239;15481;17304
"Snåase Snåsa";31494;32290;31439;29682;29746;30279;31723
"Lierne";28289;24689;26895;26796;27122;28886;26994
"Raarvihke Røyrvik";23553;25615;24152;24000;23752;23402;23428
"Namsskogan";36885;38402;38658;36983;38368;41170;41280
"Grong";54247;56744;57984;60132;58560;57812;58532
"Høylandet";21568;19176;20593;20987;21448;22120;22401
"Overhalla";40473;41827;43547;47424;43805;29787;28120
"Fosnes";17674;17471;18166;20185;19348;20178;23109
"Flatanger";43181;37240;41389;41330;40227;40934;44873
"Vikna";72540;71465;79840;80641;81953;81113;82201
"Nærøy";52018;53542;58105;56348;57412;58356;59988
"Leka";36185;38072;37803;38577;41353;40483;44077
"Inderøy";0;0;0;22896;22712;23101;26408
"Bodø";77189;77041;78184;81732;85261;86431;88503
"Narvik";75494;77073;76787;77927;78792;78910;80595
"Bindal";32817;28369;28710;29666;30948;39702;33046
"Sømna";31870;33795;31958;81883;88173;85948;79412
"Brønnøy";76548;76258;67460;70388;78945;81133;82601
"Vega";41202;41822;43488;45453;45247;52476;56603
"Vevelstad";27462;28092;26682;27437;28280;26286;28093
"Herøy (Nordl.)";50466;53843;58459;60646;60165;58444;68278
"Alstahaug";92019;100909;105648;105771;108376;107198;109016
"Leirfjord";20934;21544;21022;18098;17249;17286;17774
"Vefsn";72316;75572;76091;77581;80134;80526;81300
"Grane";19353;19838;20374;21592;20045;19733;19873
"Hattfjelldal";32034;35361;36392;36383;38164;36632;35393
"Dønna";28401;32052;35296;36731;38044;39386;42554
"Nesna";36448;38646;38393;38211;37646;37568;40920
"Hemnes";32695;33596;32895;30559;29595;33838;34952
"Rana";72533;74538;77054;78272;80981;83986;84679
"Lurøy";49078;43434;47418;50150;49321;50957;55463
"Træna";48129;49519;45055;46986;49504;47411;51501
"Rødøy";54346;52435;61484;61166;59583;57344;58803
"Meløy";54020;57613;56819;56680;57089;55023;56873
"Gildeskål";36143;35097;36651;37958;39280;38560;44282
"Beiarn";27819;29573;32051;31123;35302;36545;37688
"Saltdal";50079;51822;51135;53139;54193;55096;57831
"Fauske";72343;78152;80250;80290;78874;80992;92892
"Sørfold";16287;16785;19494;18186;18881;18649;19056
"Steigen";30795;32368;31461;32222;33858;36692;38696
"Hamarøy Hábmer";46801;50838;49453;50217;50716;51891;55065
"Divtasvuodna Tysfjord";30114;31741;33679;35012;35951;37565;40993
"Lødingen";47502;49012;49507;49422;51505;50149;51273
"Tjeldsund";18468;19707;19686;18815;20358;19614;20609
"Evenes";24837;26696;25268;25981;26902;20646;21531
"Ballangen";35765;39296;40756;39061;41027;42373;44054
"Røst";44029;45840;49007;53929;55422;54665;54482
"Værøy";42681;46298;44628;47444;49816;48804;23278
"Flakstad";22444;23576;24619;24163;23530;23443;25154
"Vestvågøy";70595;71662;75691;77657;80101;80862;85263
"Vågan";73145;74536;73702;76300;78980;77826;82826
"Hadsel";47481;50412;50464;53164;54836;54292;53702
"Bø (Nordl.)";32942;35213;37326;37803;40310;40943;42308
"Øksnes";68832;69245;71060;72707;72908;78325;84550
"Sortland";118794;119915;117817;118492;117144;110726;113279
"Andøy";52206;53641;54574;54311;55159;54971;56819
"Moskenes";35329;38865;34369;40557;41582;43713;46575
"Tromsø";76487;77365;79675;82360;86210;87684;88905
"Harstad";0;0;0;0;0;89506;91089
"Kvæfjord";19644;20986;20095;19628;24560;19027;19062
"Skånland";47811;48516;49283;51774;53215;59025;60391
"Ibestad";32036;34326;35722;35244;35760;38986;34961
"Gratangen";16705;17447;18484;18859;18644;18934;19169
"Loabák Lavangen";45118;43243;45104;34777;34948;40572;43616
"Bardu";58653;60464;58564;63664;59604;57551;55614
"Salangen";59586;64527;65257;69137;68775;72259;75687
"Målselv";66245;65784;69346;68851;69591;70027;72692
"Sørreisa";21479;21736;23251;25069;27694;27715;28380
"Dyrøy";24207;25008;24865;24683;25165;24604;19859
"Tranøy";12776;14995;15002;14698;15663;16048;17025
"Torsken";26285;27400;29833;29345;30904;35602;31312
"Berg";27586;28936;29134;30455;31929;31818;32922
"Lenvik";95506;96391;96677;97702;99385;101355;101666
"Balsfjord";53952;55880;58859;56194;56422;55816;58193
"Karlsøy";33728;34937;38087;39332;38412;38722;39383
"Lyngen";38810;42375;44005;41027;41542;43020;43457
"Storfjord Omasvuotna Omasvuono";20225;21955;21674;20513;20508;20498;20293
"Gáivuotna Kåfjord";29529;33089;31731;32277;33879;34317;35365
"Skjervøy";55666;59618;58444;58761;58415;58306;59636
"Nordreisa";74050;76440;77254;77181;77882;75865;77217
"Kvænangen";40284;42597;44717;46060;46435;46324;47788
"Vardø";47960;51200;49412;52090;53412;54497;54520
"Vadsø";72087;75676;76427;80173;80746;82879;84951
"Hammerfest";82496;79198;77853;77432;79918;80629;81326
"Guovdageaidnu Kautokeino";25180;26504;26730;27264;28506;28080;29022
"Alta";74754;77441;80950;83450;85385;85654;88967
"Loppa";44184;42897;44976;45158;45014;44649;45265
"Hasvik";43039;43359;47661;46032;45638;46499;47367
"Kvalsund";21603;26042;30113;28402;29236;30229;32270
"Måsøy";51302;59470;57387;56050;59476;60998;62599
"Nordkapp";65651;69286;75944;76987;75953;79647;80926
"Porsanger Porsángu Porsanki";67095;73318;75079;75195;77418;77068;78626
"Kárásjohka - Karasjok";37208;37967;37204;38315;40015;38118;39153
"Lebesby";49606;50105;51308;53307;50568;53502;55843
"Gamvik";37383;39029;38296;39450;41203;49858;48898
"Berlevåg";41942;46870;47652;47257;49907;52749;53288
"Deatnu Tana";45069;47218;46903;46803;47862;45852;47666
"Unjárga Nesseby";22556;21402;20282;16110;15653;15966;15247
"Båtsfjord";62084;69958;69970;70631;73762;70781;71892
"Sør-Varanger";73027;79454;81817;84277;86876;87028;84646

"Tallene er eksklusiv omsetning av motorkjøretøyer og bensin, og "
"eksklusiv merverdiavgift.<br />"

"Endret navn fra Slemdal i 1919."

"Endret navn fra Liknes i 1917."

"1. januar 2006 ble kommunene 1154 Vindafjord og 1159 Ølen slått "
"sammen til en ny kommune 1160 Vindafjord."

"1. januar 2008 ble kommunene 1503 Kristiansund og 1556 Frei slått "
"sammen til ny kommune 1505 Kristiansund."

"Ved grenseregulering 1. januar 2002 ble ca. 380 personer overført fra "
"1514 Sande kommune til 1511 Vanylven kommune."

"Ved grenseregulering 1. januar 2002 ble ca. 380 personer overført fra "
"1514 Sande kommune til 1511 Vanylven kommune."

"1. januar 2006 ble kommunene 1569 Aure og 1572 Tustna slått sammen "
"til ny kommune 1576 Aure."

"1. januar 2012 ble kommunene 1723 Mosvik og 1729 Indrøy slått sammen "
"til en ny kommune 1756 Inderøy."

"1. januar 2005 ble kommunene 1804 Bodø og 1842 Skjerstad slått sammen "
"til en kommune 1804 Bodø."

"1. januar 2013 ble kommunene 1901 Harstad og 1915 Bjarkøy slått "
"sammen til en ny kommune 1903 Harstad."

